X,Y,Omega,Omegadt,Theta,Thetadt,Psi,d,T
1.1388877834032884,-0.0013013951245393507,-0.0020349152398283317,-0.014261792336614976,-0.019608396415766789,-0.15366625073695728,0.0,-0.02,0
1.1666654475374016,-0.001380852811451823,-0.0021775331631944815,-0.014314521881415767,-0.02114505892313636,-0.15017071339955165,0.0,-0.02,0
1.1944430971998128,-0.0014652181121244446,-0.0023206783820086392,-0.015245944590546373,-0.022646766057131878,-0.14666225215410661,0.0,-0.02,0
1.2222207302844157,-0.0015548757318949859,-0.002473137827914103,-0.016172481882513825,-0.024113388578672942,-0.1429255010289727,0.0,-0.02,0
1.2499983444951661,-0.0016502016481895429,-0.0026348626467392411,-0.01418237177603727,-0.025542643588962671,-0.13896165743031735,0.0,0.02,0
1.2777759373378181,-0.0017515630780196713,-0.0027766863644996136,-0.012020188506971967,-0.026932260163265845,-0.13548558591658272,0.0,0.02,0
1.3055535061149566,-0.0018593179059713946,-0.0028968882495693333,-0.009882961620300449,-0.028287116022431672,-0.13253946128252095,0.0,0.02,0
1.3333310479228588,-0.0019738141148444191,-0.0029957178657723377,-0.0087260938830499429,-0.029612510635256883,-0.13011716676774143,0.0,0,0
1.3611085596424328,-0.0020953910063137228,-0.0030829788046028372,-0.0075200409818641911,-0.030913682302934297,0.075563205995167693,0.0,0.02,2
1.388886037929258,-0.0022243805274258528,-0.0031581792144214789,-0.0051456988688289226,-0.030158050242982619,0.28094797755680578,0.0,0.02,2
1.4166634792029011,-0.0023611085820394017,-0.0032096362031097682,-0.0035779621647213291,-0.027348570467414561,0.078667553997788547,0.0,0.02,-2
1.4444408822912107,-0.0025053858885466353,-0.0032454158247569817,-0.001346160495474368,-0.026561894927436675,0.28308612977091119,0.0,0.02,2
1.4722182489795732,-0.0026565087916839312,-0.0032588774297117253,-0.00056688900887739513,-0.023731033629727564,0.28341607106882155,0.0,0.02,0
1.4999955787005914,-0.0028142802765846932,-0.0032645463198004991,0.0019571269240631112,-0.020896872919039348,0.28355501445335035,0.0,0.02,0
1.5277728740497678,-0.0029779914741955562,-0.0032449750505598681,0.0032231841863885908,-0.018061322774505846,0.28307532648176625,0.0,0.02,0
1.5555501380817853,-0.0031469327870458689,-0.003212743208695982,0.0046017589034167842,-0.015230569509688183,0.28228533035765141,0.0,0.02,0
1.5833273742537961,-0.003320394356120129,-0.0031667256196618141,0.0035803267230492212,-0.012407716206111669,0.077615824011319057,0.0,-0.02,-2
1.6111045863613742,-0.0034976675978017654,-0.0031309223524313219,0.0025253996697919105,-0.011631557965998478,0.076738292951748166,0.0,-0.02,0
1.6388817784785585,-0.0036780459685716452,-0.003105668355733403,0.0022452901655635208,-0.010864175036480996,0.076119322444446233,0.0,-0.02,0
1.6666589515407353,-0.0038613352085416571,-0.0030832154540777678,0.0023699609447275214,-0.010102981812036534,-0.12797261803476523,0.0,-0.02,-2
